"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Viborg",525265,747482,296662
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Brønderslev",497358,682555,285259
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Frederikshavn",476385,674031,285826
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Hjørring",492666,697711,287221
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Jammerbugt",496226,679849,280310
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Læsø",406422,574498,277546
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Mariagerfjord",498222,701590,289257
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Morsø",462789,647868,278172
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Rebild",582996,776042,313732
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Thisted",489335,682066,281480
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Vesthimmerlands",478323,670256,284606
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Aalborg",470081,723511,271297
